Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
1a,"Demonstrates understanding of how culture characterizes and shapes all children’s and families’ experiences in receiving child welfare services, further understanding that dimensions of culture include age, class, color, disability, ethnicity, gender, gender identity and expression, tribal political status, immigration status, political ideology, race, religion, sex and sexual orientation. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1b,"Become familiar with the children’s families’ beliefs, values, race, ethnicity, history, from the unique tribe, culture, religion, world view and language. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1c,Demonstrates understanding of the influence of culture on human behavior and family dynamics. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1d,"Examines own beliefs, values, race, ethnicity, ability, history, tribe, culture, religion concepts and and language and demonstrates awareness of own implicit biases, aversive racism, and microaggressions and how these impact their assessments and interventions with families. (K & S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
1e,"Demonstrates the capacity for reflection and self-awareness and the ability to take the multiple perspectives of the children, families and other partners involved in cases. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1f,Understands that different cultural communities seek alternatives to termination of parental rights as permanency solutions such as customary adoption and transfer of legal guardianship. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
1g,Demonstrates an attitude of respecting and learning from the unique characteristics and strengths of families and tribes while honoring diversity within and across cultures. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1h,"Demonstrates basic knowledge of legal, socioeconomic and psychosocial issues facing tribes, immigrants, refugees and/or minority groups and can apply that knowledge in devising culturally competent and effective intervention. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
1i,"Understands the influence and value of the families’ traditional/culturally based child rearing practices, especially when considering termination of parental rights and placement preferences for ICWA cases, and uses this knowledge in working with families. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
1j,Demonstrates understanding of the importance of children and families’ primary language and supports its use in providing child welfare assessment and intervention services. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
1k,"Conducts individualized, developmentally and culturally responsive assessment of all children and families, using appreciative inquiry to elicit story/culture, and to develop an effective intervention plan that is tailored to their needs. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1l,Assesses his/her own knowledge and humility about individuals from specific groups they work with and seeks consultation and expertise to fill gaps. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1m,"Demonstrates knowledge of the rationale for and requirements of the Multi-Ethnic Placement Act, the Minnesota Indian Family Preservation Act and the Indian Child Welfare Act and applies those provisions in working with families and Tribal representatives. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
1n,"Demonstrates knowledge about historical trauma, racism and other forms and mechanisms of oppression and discrimination pertaining to low-income, non- traditional, and culturally diverse families and uses this knowledge to provide equitable and effective child welfare services. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
1o,Inquires openly about families’ behaviors and attitudes related to child safety and avoids making untested assumptions about such behaviors and attitudes. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1p,Evaluates critically the relevance of commonly used assessment criteria and intervention models in terms of their utility with diverse ethnic and cultural populations. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
1q,"Demonstrates awareness of systemic biases such as racial disproportionality in the child welfare service population, and is familiar with services and programs designed to mitigate those biases. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
2a,"Creates a relationship with children, youth and families by listening and appreciating the families’ stories and recognizing and acknowledging their (children/family) expertise about their own family system. (K&S)",Engagement,NA,Engagement,Knowledge & Skills
2b,Understands the critical role of developing trust with children and families engaged in child welfare services. (K),Engagement,NA,Engagement,Knowledge
2c,"Understands the importance of identifying American Indian children for the purposes of ICWA implementation, proper notification and engagement with tribal networks. (K)",Engagement,NA,Engagement,Knowledge
2d,"Understands the importance of engaging and building relationships with all parental figures, including non-custodial parents and foster parents. (K)",Engagement,NA,Engagement,Knowledge
2e,Understands the community context of children and family and its importance to the engagement process (e.g. tribes). (K),Engagement,NA,Engagement,Knowledge
2f,Demonstrates understanding of reasonable and active efforts policies and their role in how county child welfare workers engage and work with families involved in the court system. (K),Engagement,NA,Engagement,Knowledge
2g,"Demonstrates transparency, develops trust, identifies areas of common ground and shares feasible power in engaging individuals and families around concerns such as safety. (S)",Engagement,NA,Engagement,Skill
2h,"Understands how child welfare involvement, including but not limited to attachment, separation and placement, affects a child and family and how these experiences may influence a child’s physical, cognitive, social and emotional development. (K)",Engagement,NA,Engagement,Knowledge
2i,"Demonstrates understanding of the underlying processes, ages and stages of infant, child and youth development, including physical, cognitive, social and emotional development. (K)",Engagement,NA,Engagement,Knowledge
2j,Demonstrates understanding of the primary stages and processes of adult development and family life. (K),Engagement,NA,Engagement,Knowledge
2k,"Recognizes developmental indicators of abuse and neglect, as well as resulting trauma. (K&S)",Engagement,NA,Engagement,Knowledge & Skills
2l,"Works collaboratively with biological, kinship, foster and adoptive families, and tribal networks involving them in assessment and planning, helping them access services and develop coping strategies. (S)",Engagement,NA,Engagement,Skill
2m,"Can explore and partner with potential resources and natural networks (extended family, friends, religious communities, etc.) to utilize strengths and enhance safety. (S)",Engagement,NA,Engagement,Skill
2n,Understands normal responses to involuntary contact and is able to respond in ways that reduce mistrust and strengthen relationships. (K),Engagement,NA,Engagement,Knowledge
2o,"Can clarify and express legal parameters, as defined in federal law and/or state statute/rule, for risk and danger. (S)",Engagement,NA,Engagement,Skill
3a,"Engages the family to identify current and potential resources in the neighborhood, community, and/or tribe, both formal and informal, to assist the family in safety and coping. (S)",Partnering,NA,Partnering,Skill
3b,"Strives to maintain and enhance community and cultural connections with children, youth, families, and tribes. (S)",Partnering,NA,Partnering,Skill
3c,"Demonstrates an ability to partner with tribes for the purpose of ICWA implementation (specifically active efforts), placement according to the MIFPA placement preferences, and use of Qualified Expert Witness testimony. (S)",Partnering,NA,Partnering,Skill
3d,"Demonstrates familiarity with community collaborations such as family group decision making, family safety planning meetings, citizen review panels, DHS ICWA Advisory Council, Children’s Justice Initiative, child protection teams, child mortality reviews and parent leadership teams. (K)",Partnering,NA,Partnering,Knowledge
3e,Understands and respects tribal sovereignty when partnering on cases involving American Indian/Alaska Native children. (K & S),Partnering,NA,Partnering,Knowledge
3f,"Demonstrates an ability to work in multidisciplinary teams, including tribal social workers, and willingness to incorporate different professional and/or cultural perspectives into case plans/practice strategies when appropriate. (S)",Partnering,NA,Partnering,Skill
3g,"Understands the various roles involved in the legal and court process (including tribes) related to child welfare (protection, custody, adoptions), as well as how to effectively interact with people in those roles. (K&S)",Partnering,NA,Partnering,Knowledge & Skills
3h,"Partners with foster parents to support continuity of placements and optimal outcomes for children and families, including partnering with biological parents as appropriate. (S)",Partnering,NA,Partnering,Skill
4a,"Identifies major family, health and social risk factors contributing to child abuse and information about neglect. (K)",Assessment,NA,Assessment,Knowledge
4b,Identifies resilience and other protective factors that act to preserve the family and protect the child. (K),Assessment,NA,Assessment,Knowledge
4c,"Recognizes awnd accurately identifies the physical and behavioral indicators of abuse, family violence and neglect, and can assess the dynamics underlying these behaviors. (K)",Assessment,NA,Assessment,Knowledge
4d,"Integrates knowledge of individual, family and cultural dynamics, and recognizes signs and symptoms of at-risk behaviors including chemical health and domestic violence in children/youth and adults, and assess their impact. (K&S)",Assessment,NA,Assessment,Knowledge & Skills
4e,"Demonstrates understanding and an ability to integrate into an assessment the strengths perspective, protective factors, and empowerment approaches and understands how they can positively influence growth, development and behavior change. (K&S)",Assessment,NA,Assessment,Knowledge & Skills
4f,"Gathers, assesses, analyzes and presents pertinent information from interviews, case records, and collateral sources when evaluating an abuse or neglect allegation, making assessments, effective referrals for services or further evaluation. (S)",Assessment,NA,Assessment,Skill
4g,"Summarizes the features of mandated mental health screenings and other standardized children’s mental health assessments, including developmental assessments for children birth to 3; trauma-informed screening and effective evidence-based assessment instruments. (K)",Partnering,NA,Partnering,Knowledge
4h,Demonstrates the ability to perform a preliminary safety assessment and to monitor the safety of the child through ongoing assessment of risk. (S),Assessment,NA,Assessment,Skill
4i,"Demonstrates an understanding of basic child development and how developmental level affects a child’s perception of events, coping strategies, and physical and psychological responses to stress and trauma. (K)",Assessment,NA,Assessment,Knowledge
4j,Understands the importance of collaboration with tribal social workers to ensure the assessment integrates the prevailing cultural standards of the tribes. (K),Assessment,NA,Assessment,Knowledge
4k,Identifies a variety of informant sources to be engaged during the assessment process. (S),Assessment,NA,Assessment,Skill
4l,Demonstrates the ability to assess the effects of family transitions and the potential impact of becoming a “client” of the child welfare system. (S),Assessment,NA,Assessment,Skill
4m,Demonstrates understanding and ability to integrate the dynamics and effects of trauma into an assessment. (K&S),Assessment,NA,Assessment,Knowledge & Skills
4n,References the Diagnostic and Statistical Manual of Mental Disorders (DSM) as a tool in the assessment process where appropriate. (K&S),Assessment,NA,Assessment,Knowledge & Skills
4o,"Reads, critically considers, and applies results from an adult or child mental health assessment. (S)",Assessment,NA,Assessment,Skill
4p,"Demonstrates the ability to recognize and assess potential for violence, suicide, and complex psychological difficulties. (S)",Assessment,NA,Assessment,Skill
4q,"Identifies and demonstrates a variety of interviewing techniques used with children, youth and families for assessment, service planning, intervention and forensic purposes. (S)",Assessment,NA,Assessment,Skill
