Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
1a,"Understands and can model and teach necessary elements of assessment, decision making, case planning, and case process to staff. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1b,"Understands and values diversity and different styles of perceiving, learning, communicating, and operating. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1c,Understands factors that motivate performance and can use this information to assist staff performance improvement. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1d,Demonstrates an understanding of the principles of adult learning. (K),NA,Educative Supervision,Educative Supervision,Knowledge
1e,"Creates a learning climate in which the development and maintenance of competencies, professional judgment and sound decision making in supervisees takes place through clear, sympathetic supervisory direction and assists staff to transfer knowledge and skills learned through in-service training to their jobs. (S)",NA,Educative Supervision,Educative Supervision,Skill
1f,"Keeps abreast of research data, including disparities and disproportionality, and ICWA practice data and informs staff of ongoing changes in best practices child welfare. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1g,"Knows and can apply relevant federal and state statutes, including MEPA, IEPA, MIFPA, ICWA and BIA Guidelines, rules, policies, procedures and current practice standards related to casework. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1h,"Demonstrates familiarity with, and is able to access, or advocate for access to, childhood trauma treatment-specific resources. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1i,"Demonstrates the capacity to communicate a plan to agency caseworkers for screening children for trauma, including historical trauma. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1j,"Understands the vision of the Minnesota practice model itself, why it was developed, and how statewide leadership envisions the practice model as a tool to support practice and improve performance and outcomes. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1k,Understands how to apply the values and principles within the practice model to actual casework efforts and challenges and use the materials to support improved practices through supervision. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1l,"Understands how the skills listed within the practice model support positive outcomes for children, youth, and families and is capable of assessing their staff in terms of these skills. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1m,"Understands the value of supporting expression, and can recognize emotion-laden issues or situations and handle them with sensitivity. (S)",NA,Supportive Supervision,Supportive Supervision,Skill
1n,Uses listening and observation to anticipate and prepare for others’ reactions. (K&S),NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
1o,"Understands how staff members’ attitudes, needs, behaviors, personal preferences, work style, beliefs, gender, and cultural backgrounds may influence perceptions and performance. (K)",NA,Supportive Supervision,Supportive Supervision,Knowledge
1p,Recognizes when a worker’s emotional responses and/or judgment interfere with the casework process and can empower the worker to identify and examine these reactions. (K&S),NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
1q,"Demonstrates understanding of childhood trauma research findings, emotional and behavioral symptomology and treatment options using a cross cultural lens. (K)",NA,Supportive Supervision,Supportive Supervision,Knowledge
1r,"Advocates reduced organizational barriers to staff performance including: assessing needed resources, changes to unit or regional policies/procedures, modifying unrealistic job expectations, and collaborating with upper-level management for changes in problematic organizational issues. (K&S)",NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
