Learning Objective,Competency Code,Knowledge / Skills Statement,Session,Training
Analyze the stages of worker development implications for leadership. (1e),"Creates a learning climate in which the development and maintenance of competencies, professional judgment and sound decision making in supervisees takes place through clear, sympathetic supervisory direction and assists staff to transfer knowledge and skills learned through in-service training to their jobs. (S)",Skill,1,2
"Apply coaching techniques to supervision (1l, 1n, 2k)","Understands how the skills listed within the practice model support positive outcomes for children, youth, and families and is capable of assessing their staff in terms of these skills. (K&S); Uses listening and observation to anticipate and prepare for others’ reactions. (K&S); Shows the ability to manage the employee appraisal process, to use competencies in performance planning, and to assess employee performance. (K&S)",Knowledge & Skills; Knowledge & Skills; Knowledge & Skills,2,2
"Apply the Safety Practice Profiles via role play. (1j, 1o, 1r, 1u, 1w)","Understands the vision of the Minnesota practice model itself, why it was developed, and how statewide leadership envisions the practice model as a tool to support practice and improve performance and outcomes. (K); Understands how staff members’ attitudes, needs, behaviors, personal preferences, work style, beliefs, gender, and cultural backgrounds may influence perceptions and performance. (K); Advocates reduced organizational barriers to staff performance including: assessing needed resources, changes to unit or regional policies/procedures, modifying unrealistic job expectations, and collaborating with upper-level management for changes in problematic organizational issues. (K&S); Finds creative and effective ways to advocate for clients and staff. (K&S); Discerns the strengths, needs, challenges, and feelings of others and offers appropriate support to colleagues/supervisees. (K&S)",Knowledge; Knowledge; Knowledge & Skills; Knowledge & Skills; Knowledge & Skills,1,3
Apply the ladder of inference to an example,,,2,1
Brainstorm best practices on how to adapt your leadership approach to meet the needs of workers at different stages of development. (1e),"Creates a learning climate in which the development and maintenance of competencies, professional judgment and sound decision making in supervisees takes place through clear, sympathetic supervisory direction and assists staff to transfer knowledge and skills learned through in-service training to their jobs. (S)",Skill,1,2
Build awareness of individual bias to support workers in navigating their own biases,,,2,1
Build awareness of systemic bias to support workers in navigating systemic biases,,,2,1
"Communicate effectively with workers during difficult situations (1b, 1e, 1m, 5b)","Understands and values diversity and different styles of perceiving, learning, communicating, and operating. (K); Creates a learning climate in which the development and maintenance of competencies, professional judgment and sound decision making in supervisees takes place through clear, sympathetic supervisory direction and assists staff to transfer knowledge and skills learned through in-service training to their jobs. (S); Understands the value of supporting expression, and can recognize emotion-laden issues or situations and handle them with sensitivity. (S); Adjusts communication, behavior and approach to a situation or to the agency’s larger objective. (S)",Knowledge; Skill; Skill; Skill,2,2
Create a leadership mission statement. (3f),Demonstrates knowledge of the mission of the agency and its role in the child and family service system. (K),Knowledge,1,1
Define the five supervisory conversation types,,,2,1
Demonstrate coaching workers on thoughtful uses of the safety and risk assessments,,,2,3
Demonstrate how to conduct a group supervision meeting,,,2,3
"Determine appropriate information in best practice documents. (1f, 1cc, 2e, 2h, 4h, 5c, 8a, 8e)","Keeps abreast of research data, including disparities and disproportionality, and ICWA practice data and informs staff of ongoing changes in best practices child welfare. (K&S); Organizes material or activities to accomplish tasks efficiently. (S); Demonstrates the ability to organize materials or activities in order to accomplish tasks efficiently. (S); Demonstrates knowledge of, and can access personnel laws, rules, regulations and the union contract. (K&S); Solicits data, information, ideas, and opinions from relevant sources for specific decisions and plans. (S); Utilizes theoretical frameworks and incorporates past experience to guide analysis and practice. (K&S); Anticipates significant information necessary for decision making. (K); Gives directions or orders based on professional authority, rules, and procedures when a situation requires. (S)",Knowledge & Skills; Skill; Skill; Knowledge & Skills; Skill; Knowledge & Skills; Knowledge; Skill,4,1
Develop an intercultural Development Plan to improve your intercultural competence with the help of an accountability partner. (1D),,,1,3
