Learning Objective,Competency Code,Session,Training,Assessment Type
Identify the core values of MN CW Framework for Competent CW Practice. (page 2 of Framework),,1,1,
Create a leadership mission statement. (3f),,1,1,
"Identify factors contributing to disparity and disproportionality in the child welfare system. (1f, 6a, 6b)",,1,1,
Discuss cross-cultural supervision. (6j),,1,1,
Generate strategies to facilitate balanced supervision in your work. (1x),,1,1,
Identify ways to foster a supportive team dynamic. (6f),,1,1,
"Discuss current efforts to address disparities and disproportionality in child welfare. (1f, 6a, 6b)",,1,1,
"Identify strategies to use while transitioning into a supervisory role. (7a, 7i)",,1,2,
"Discuss the importance of maintaining an open mind in decision-making. (2b, 8b)",,1,2,
"Identify ways to build a supportive team environment. (2b, 8b)",,1,2,
Reflect on strategies that enhance team cohesion. (4j),,1,2,
Analyze the stages of worker development implications for leadership. (1e),,1,2,
Brainstorm best practices on how to adapt your leadership approach to meet the needs of workers at different stages of development. (1e),,1,2,
"Recognize four fundamental essentials of employees. (1c, 1n, 1w, 4e)",,1,2,
"Reflect on the significance of effective listening. (1m, 1n, 4e)",,1,2,
"Recognize the importance of decision-making. (8f, 8j, 1o)",,1,3,
"Apply the Safety Practice Profiles via role play. (1j, 1o, 1r, 1u, 1w)",,1,3,
"Identify strategies for addressing trauma with workers. (1s, 1t)",,1,3,
"Identify aspects of productive communication. (1bb, 7i, 1u)",,1,3,
Develop an intercultural Development Plan to improve your intercultural competence with the help of an accountability partner. (1D),,1,3,
Identify inclusive development initiatives that promote intercultural competence among new workers.,,1,3,
Define the five supervisory conversation types,,2,1,
Recognize that preferences can lead to biases,,2,1,
Build awareness of individual bias to support workers in navigating their own biases,,2,1,
Apply the ladder of inference to an example,,2,1,
Build awareness of systemic bias to support workers in navigating systemic biases,,2,1,
Identify the importance of a welcoming climate & Identify at least two tools to help orient new workers,,2,1,
Identify the importance of personal professional development,,2,1,
Identify at least three specific ways to encourage continued learning in workers,,2,1,
"Apply coaching techniques to supervision (1l, 1n, 2k)",,2,2,
"Identify techniques to assessing staff’s ability to receive supervision (1l, 1n, 2k)",,2,2,
"List problem-solving responses to performance concerns (2j, 2k, 2l)",,2,2,
"Communicate effectively with workers during difficult situations (1b, 1e, 1m, 5b)",,2,2,
Demonstrate how to conduct a group supervision meeting,,2,3,
Recognize the role of assessment in devising effective safety plans,,2,3,
Utilize assessments to challenge biased reactions,,2,3,
Demonstrate coaching workers on thoughtful uses of the safety and risk assessments,,2,3,
Practice coaching workers to make critical decisions,,2,3,
"Determine appropriate information in best practice documents. (1f, 1cc, 2e, 2h, 4h, 5c, 8a, 8e)",,4,1,
"Identify conflict management approaches. (4c-d, 4k-l)",,4,1,
"Utilize conflict management skills in a role-play. (4c-d, 4k-l)",,4,1,
"Identify performance management concerns. (1aa-bb, 2k-l, 4c, 4k-l)",,4,1,
"Utilize performance management skills in a role-play. (1m-n, 1p, 1ee, 4d, 4k-l, 8c)",,4,1,
