"","group_id","combined_text"
"1",1,"Policy, Planning, Discussion with workers about plans & Budgeting implemented in the community or in the agency"
"2",2,"Determining training objectives"
"3",3,"Determining policies and work procedures"
"4",4,"Transmitting work procedures to workers"
"5",5,"Applying policies to working plans"
"6",6,"Planning (projects, budget)"
"7",7,"Allocating resources for programs and projects"
"8",8,"Determining workers' job description"
"9",9,"Handling workers' salaries and fringe benefits"
"10",10,"Handling clients' complaints and buffering in emergencies"
"11",11,"Scheduling staff working hours"
"12",12,"Regulating workers' vacations or training"
"13",13,"Staffing (including intewiews or submission of assessments of candidates)"
"14",14,"Quality Control Regulating workers' case loads"
"15",15,"Handling disciplinary issues"
"16",16,"Reviewing case records"
"17",17,"Reviewing workers' outputs"
"18",18,"Controllingthat assignment are completed on time"
"19",19,"Contacts Finding or recruiting volunteers with Community Referrals to, and coordination or supervision"
"20",20,"Services of private-service providers"
"21",21,"Factors Action Items Loadings"
"22",22,"Professional Discussing assessment of clients with workers"
"23",23,"Skills & Discussing intervention plans with workers"
"24",24,"Techniques Discussing intervention methods with workers (i.e., casework, group-work)"
"25",25,"Discussing intervention approaches with workers (i.e., crisis intervention, cognitive therapy)"
"26",26,"Discussing intervention techniques with workers (i.e., confrontation, mediation)"
"27",27,"Assisting workers in promoting self-awareness"
"28",28,"Discussing information about clients with workers"
"29",29,"Professional Discussing priorities regarding receiving clients"
"30",30,"Boundaries with workers"
"31",31,"Discussing ethical issues related to intervention with workers"
"32",32,"Discussing with workers the limits of responsibility"
"33",33,"Discussing professional identity of workers"
"34",34,"Assisting workers in planning their work schedulenime table"
"35",35,"Knowledge and Discussion with workers about their working"
"36",36,"Information relations with interdisciplinary teams"
"37",37,"Referringworkers to information resources in the field/wmmunity (e.g., experts, reports)"
"38",38,"Discussing theoretical knowledge with workers (e.g., articles in the lield)"
"39",39,"Factors Action Items Loadings"
"40",40,"Assisting workers in handling their feelings regarding clients, management, and peers .62"
"41",41,"Assisting workers by representingtheir needs to management .71"
"42",42,"Assisting workers in handling their personal problems .67"
"43",43,"Assisting workers in handling tensions and"
