"","SFI_clean_2","kadushin"
"1","Discussion with workers about plans implemented in the community or in the agency","Administrative"
"2","Determining training objectives","Administrative"
"3","Determining policies and work procedures","Administrative"
"4","Transmitting work procedures to workers","Administrative"
"5","Applying policies to working plans","Administrative"
"6","Planning (projects, budget)","Administrative"
"7","Allocating resources for programs and projects","Administrative"
"8","Determining workers' job description","Administrative"
"9","Handling workers' salaries and fringe benefits","Administrative"
"10","Handling clients' complaints and buffering in emergencies","Administrative"
"11","Scheduling staff working hours","Administrative"
"12","Regulating workers' vacations or training","Administrative"
"13","Staffing (including interviews or submission of assessments of candidates)","Administrative"
"14","Regulating workers' case loads","Administrative"
"15","Handling disciplinary issues","Administrative"
"16","Reviewing case records","Administrative"
"17","Reviewing workers' outputs","Administrative"
"18","Controlling that assignment are completed on time","Administrative"
"19","Finding or recruiting volunteers","Administrative"
"20","Referrals to, and coordination or supervision of private-service providers","Administrative"
"21","Discussing assessment of clients with workers","Educational"
"22","Discussing intervention plans with workers","Educational"
"23","Discussing intervention methods with workers (i.e., casework, group-work)","Educational"
"24","Discussing intervention approaches with workers (i.e., crisis intervention, cognitive therapy)","Educational"
"25","Discussing intervention techniques with workers (i.e., confrontation, mediation)","Educational"
"26","Assisting workers in promoting self-awareness","Educational"
"27","Discussing information about clients with workers","Educational"
"28","Discussing priorities regarding receiving clients","Educational"
"29","Boundaries with workers","Educational"
"30","Discussing ethical issues related to intervention with workers","Educational"
"31","Discussing with workers the limits of responsibility","Educational"
"32","Discussing professional identity of workers","Educational"
"33","Assisting workers in planning their work schedulenime table","Educational"
"34","Discussion with workers about their working relations with interdisciplinary teams","Educational"
"35","Referring workers to information resources in the field/wmmunity (e.g., experts, reports)","Educational"
"36","Discussing theoretical knowledge with workers (e.g., articles in the lield)","Educational"
"37","Assisting workers in handling their feelings regarding clients, management, and peers ","Supportive"
"38","Assisting workers by representingtheir needs to management ","Supportive"
"39","Assisting workers in handling their personal problems ","Supportive"
"40","Assisting workers in handling tensions and frustrations relating to their work in general","Supportive"
